,RL50 (kPa),Location,lat,lon,rlat,rlon
126,0.093,Embarras Portage,58.45,-111.47,11.665,-7.672
127,0.09,Fairview,56.07,-118.38,10.215,-11.933
128,0.179,Fort MacLeod,49.72,-113.41,3.334,-10.542
129,0.096,Fort McMurray,56.73,-111.38,9.966,-7.951
130,0.098,Fort Saskatchewan,53.71,-113.21,7.211,-9.587
131,0.086,Fort Vermilion,58.39,-116.0,12.121,-10.051
132,0.086,Grande Prairie,55.17,-118.79,9.413,-12.41
133,0.073,Habay,58.83,-118.73,12.919,-11.338
134,0.111,Hardisty,52.67,-111.31,5.969,-8.668
135,0.165,High River,50.58,-113.88,4.238,-10.655
136,0.096,Hinton,53.4,-117.58,7.518,-12.204
137,0.137,Jasper,52.88,-118.08,7.096,-12.635
138,0.073,Keg River,57.75,-117.63,11.722,-11.07
139,0.088,Lac la Biche,54.77,-111.97,8.105,-8.657
140,0.123,Lacombe,52.47,-113.74,6.066,-10.163
141,0.196,Lethbridge,49.69,-112.83,3.228,-10.181
142,0.077,Manning,56.92,-117.63,10.922,-11.295
143,0.142,Medicine Hat,50.04,-110.68,3.311,-8.751
144,0.089,Peace River,56.23,-117.29,10.207,-11.295
145,0.139,Pincher Creek,49.48,-113.94,3.172,-10.929
146,0.093,Ranfurly,53.4,-111.68,6.727,-8.751
147,0.125,Red Deer,52.27,-113.81,5.879,-10.248
148,0.124,Rocky Mountain House,52.37,-114.92,6.127,-10.891
149,0.089,Slave Lake,55.28,-114.77,8.94,-10.135
150,0.126,Stettler,52.33,-112.71,5.799,-9.574
151,0.1,Stony Plain,53.53,-114.01,7.136,-10.093
152,0.165,Suffield,50.22,-111.16,3.542,-9.023
153,0.19,Taber,49.78,-112.15,3.229,-9.731
154,0.181,Turner Valley,50.68,-114.29,4.392,-10.887
155,0.12,Valleyview,55.07,-117.28,9.085,-11.594
156,0.093,Vegreville,53.49,-112.05,6.858,-8.952
157,0.098,Vermilion,53.35,-110.85,6.587,-8.27
158,0.092,Wagner,55.35,-114.98,9.036,-10.237
159,0.109,Wainwright,52.83,-110.86,6.077,-8.369
160,0.115,Wetaskiwin,52.97,-113.37,6.507,-9.836
161,0.09,Whitecourt,54.14,-115.69,7.956,-10.926
162,0.144,Wimborne,51.87,-113.59,5.46,-10.201
163,0.123,Assiniboia,49.63,-105.99,2.466,-5.815
164,0.108,Battrum,50.55,-108.33,3.574,-7.185
165,0.093,Biggar,52.06,-107.99,5.038,-6.757
166,0.119,Broadview,50.38,-102.58,3.008,-3.56
167,0.091,Dafoe,51.75,-104.53,4.476,-4.668
168,0.093,Dundurn,51.81,-106.51,4.67,-5.883
169,0.109,Estevan,49.14,-102.99,1.791,-3.917
170,0.134,Hudson Bay,52.85,-102.38,5.463,-3.261
171,0.096,Humboldt,52.2,-105.12,4.96,-4.985
172,0.114,Island Falls,55.53,-102.35,8.135,-3.056
173,0.141,Kamsack,51.56,-101.89,4.156,-3.046
174,0.085,Kindersley,51.47,-109.16,4.562,-7.564
175,0.099,Lloydminster,53.28,-110.01,6.432,-7.785
176,0.135,Maple Creek,49.91,-109.48,3.054,-8.011
177,0.088,Meadow Lake,54.13,-108.43,7.124,-6.72
178,0.111,Melfort,52.86,-104.61,5.586,-4.608
179,0.111,Melville,50.93,-102.8,3.567,-3.659
180,0.105,Moose Jaw,50.39,-105.53,3.188,-5.435
181,0.113,Nipawin,53.36,-104.01,6.049,-4.2
182,0.083,North Battleford,52.78,-108.3,5.778,-6.842
183,0.119,Prince Albert,53.2,-105.75,5.996,-5.257
184,0.09,Qu'Appelle,50.54,-103.88,3.234,-4.373
185,0.085,Regina,50.45,-104.62,3.188,-4.851
186,0.089,Rosetown,51.55,-107.99,4.533,-6.83
187,0.09,Saskatoon,52.13,-106.66,4.999,-5.935
188,0.093,Scott,52.37,-108.83,5.42,-7.223
189,0.086,Strasbourg,51.07,-104.95,3.826,-4.997
190,0.117,Swift Current,50.28,-107.8,3.259,-6.888
191,0.124,Uranium City,59.57,-108.62,12.519,-5.998
192,0.111,Weyburn,49.66,-103.85,2.355,-4.432
193,0.119,Yorkton,51.21,-102.46,3.83,-3.425
194,0.173,Beausejour,50.06,-96.51,2.561,0.315
195,0.162,Boissevain,49.23,-100.05,1.769,-1.992
196,0.16,Brandon,49.84,-99.95,2.376,-1.904
197,0.167,Churchill,58.77,-94.17,11.297,1.496
198,0.141,Dauphin,51.15,-100.05,3.688,-1.917
199,0.118,Flin Flon,54.77,-101.88,7.359,-2.836
200,0.156,Gimli,50.63,-96.99,3.13,0.006
201,0.139,Island Lake,53.86,-94.67,6.381,1.382
202,0.236,Lac du Bonnet,50.26,-96.06,2.764,0.602
203,0.127,Lynn Lake,56.85,-101.05,9.408,-2.244
204,0.216,Morden,49.19,-98.1,1.695,-0.719
205,0.168,Neepawa,50.23,-99.47,2.755,-1.582
206,0.202,Pine Falls,50.57,-96.2,3.073,0.509
207,0.15,Portage la Prairie,49.97,-98.24,2.476,-0.798
208,0.149,Rivers,50.03,-100.24,2.573,-2.083
209,0.213,Sandilands,49.32,-96.29,1.822,0.463
210,0.16,Selkirk,50.14,-96.87,2.64,0.083
211,0.135,Split Lake,56.25,-96.1,8.753,0.506
212,0.19,Steinbach,49.53,-96.69,2.03,0.201
213,0.146,Swan River,52.11,-101.27,4.682,-2.63
214,0.141,The Pas,53.83,-101.25,6.399,-2.523
215,0.118,Thompson,55.75,-97.85,8.253,-0.483
216,0.129,Virden,49.85,-100.93,2.414,-2.535
217,0.162,Winnipeg,49.9,-97.14,2.4,-0.09
218,0.432,Ailsa Craig,43.14,-81.54,-3.242,11.234
219,0.405,Ajax,43.85,-79.02,-2.16,12.872
220,0.438,Alexandria,45.31,-74.63,0.046,15.525
221,0.376,Alliston,44.15,-79.87,-2.004,12.208
222,0.433,Almonte,45.23,-76.19,-0.329,14.49
223,0.218,Armstrong,50.3,-89.04,3.06,5.082
224,0.41,Arnprior,45.43,-76.36,-0.167,14.322
225,0.212,Atikokan,48.76,-91.63,1.382,3.538
226,0.16,Attawapiskat,52.92,-82.43,6.243,8.776
227,0.409,Aurora,44.01,-79.45,-2.074,12.534
228,0.443,Bancroft,45.06,-77.85,-0.788,13.4
229,0.404,Barrie,44.39,-79.69,-1.742,12.282
230,0.495,Barriefield,44.24,-76.46,-1.334,14.562
231,0.425,Beaverton,44.43,-79.16,-1.618,12.642
232,0.468,Belleville,44.16,-77.38,-1.579,13.944
233,0.452,Belmont,42.93,-81.09,-3.382,11.599
234,0.417,Bowmanville,43.91,-78.69,-2.047,13.09
235,0.461,Bracebridge,45.06,-79.29,-1.025,12.41
236,0.398,Bradford,44.12,-79.56,-1.984,12.432
237,0.41,Brampton,43.68,-79.76,-2.445,12.388
238,0.437,Brantford,43.14,-80.26,-3.051,12.15
239,0.467,Brighton,44.04,-77.74,-1.759,13.723
240,0.449,Brockville,44.59,-75.68,-0.85,15.008
241,0.45,Burk's Falls,45.62,-79.41,-0.498,12.203
242,0.411,Burlington,43.33,-79.8,-2.793,12.437
243,0.435,Cambridge,43.36,-80.31,-2.844,12.067
244,0.472,Campbellford,44.31,-77.8,-1.507,13.616
245,0.427,Cannington,44.35,-79.04,-1.677,12.744
246,0.437,Carleton Place,45.14,-76.15,-0.408,14.541
247,0.427,Cavan,44.2,-78.47,-1.728,13.176
248,0.427,Centralia,43.28,-81.47,-3.095,11.257
249,0.378,CFB Borden,44.27,-79.91,-1.893,12.154
250,0.31,Chapleau,47.84,-83.4,1.135,9.083
251,0.433,Chatham,42.4,-82.18,-4.059,10.915
252,0.373,Chesley,44.29,-81.08,-2.049,11.331
253,0.396,Clinton,43.62,-81.53,-2.77,11.147
254,0.459,Coboconk,44.66,-78.8,-1.336,12.84
255,0.437,Cobourg,43.96,-78.17,-1.911,13.442
256,0.254,Cochrane,49.06,-81.03,2.629,10.398
257,0.452,Colborne,44.01,-77.89,-1.814,13.626
258,0.368,Collingwood,44.5,-80.22,-1.716,11.888
259,0.428,Cornwall,45.02,-74.73,-0.252,15.538
260,0.417,Corunna,42.88,-82.45,-3.625,10.63
261,0.339,Deep River,46.1,-77.49,0.282,13.39
262,0.497,Deseronto,44.2,-77.05,-1.481,14.164
263,0.466,Dorchester,42.99,-81.05,-3.318,11.616
264,0.294,Dorion,48.78,-88.56,1.582,5.552
265,0.434,Dresden,42.59,-82.18,-3.872,10.879
266,0.188,Dryden,49.78,-92.84,2.352,2.687
267,0.38,Dundalk,44.17,-80.39,-2.064,11.839
268,0.429,Dunnville,42.9,-79.62,-3.184,12.659
269,0.371,Durham,44.18,-80.82,-2.119,11.536
270,0.444,Dutton,42.66,-81.5,-3.707,11.358
271,0.288,Earlton,47.71,-79.82,1.478,11.468
272,0.202,Edison,49.8,-93.55,2.349,2.228
273,0.437,Elliot Lake ,46.39,-82.65,-0.201,9.843
274,0.431,Elmvale,44.58,-74.87,-0.702,15.565
275,0.45,Embro,43.15,-80.9,-3.139,11.69
276,0.288,Englehart,47.82,-79.87,1.578,11.411
277,0.44,Espanola,46.27,-81.77,-0.204,10.462
278,0.425,Exeter,43.35,-81.48,-3.028,11.236
279,0.455,Fenelon Falls,44.53,-78.74,-1.452,12.911
280,0.417,Fergus,43.71,-80.38,-2.512,11.944
281,0.4,Forest,43.1,-82.0,-3.347,10.912
282,0.385,Fort Erie,42.9,-78.97,-3.077,13.124
283,0.412,Fort Erie (Ridgeway),42.88,-79.05,-3.11,13.071
284,0.239,Fort Frances,48.61,-93.4,1.165,2.38
285,0.475,Gananoque,44.33,-76.17,-1.193,14.739
286,0.246,Geraldton,49.7,-86.95,2.62,6.488
287,0.436,Glencoe,42.75,-81.71,-3.649,11.189
288,0.378,Goderich,43.74,-81.71,-2.678,10.995
289,0.406,Gore Bay,45.92,-82.46,-0.639,10.059
290,0.193,Graham,49.25,-90.57,1.924,4.195
291,0.453,Gravenhurst (Muskoka Airport),44.91,-79.37,-1.184,12.389
292,0.407,Grimsby,43.2,-79.58,-2.885,12.622
293,0.424,Guelph,43.54,-80.25,-2.659,12.072
294,0.41,Guthrie,44.47,-79.53,-1.638,12.376
295,0.3,Haileybury,47.45,-79.63,1.253,11.65
296,0.431,Haldimand (Caledonia),43.06,-79.96,-3.082,12.381
297,0.44,Haldimand (Hagersville),42.96,-80.05,-3.194,12.339
298,0.475,Haliburton,45.05,-78.52,-0.91,12.942
299,0.415,Halton Hills (Georgetown),43.64,-79.93,-2.511,12.277
300,0.412,Hamilton,43.26,-79.87,-2.873,12.402
301,0.389,Hanover,44.15,-81.03,-2.179,11.394
302,0.47,Hastings,44.31,-77.96,-1.535,13.505
303,0.476,Hawkesbury,45.61,-74.6,0.34,15.461
304,0.243,Hearst,49.69,-83.67,2.927,8.589
305,0.428,Honey Harbour,44.87,-79.82,-1.293,12.086
306,0.261,Hornepayne,49.22,-84.78,2.346,7.953
307,0.462,Huntsville,45.33,-79.22,-0.751,12.398
308,0.454,Ingersoll,43.04,-80.88,-3.243,11.727
309,0.259,Iroquois Falls,48.76,-80.69,2.381,10.678
310,0.244,Jellicoe,49.69,-87.53,2.563,6.116
311,0.272,Kapuskasing,49.42,-82.43,2.804,9.43
312,0.438,Kemptville,45.02,-75.65,-0.43,14.913
313,0.2,Kenora,49.77,-94.49,2.296,1.622
314,0.375,Killaloe,45.56,-77.42,-0.229,13.571
315,0.359,Kincardine,44.18,-81.63,-2.235,10.966
316,0.5,Kingston,44.23,-76.48,-1.348,14.551
317,0.468,Kinmount,44.78,-78.65,-1.194,12.915
318,0.291,Kirkland Lake,48.15,-80.02,1.879,11.242
319,0.438,Kitchener,43.45,-80.49,-2.783,11.92
320,0.144,Kitchenuhmaykoosib,53.82,-89.88,6.514,4.223
321,0.465,Lakefield,44.42,-78.27,-1.481,13.263
322,0.162,Lansdowne House,52.2,-87.93,5.025,5.566
323,0.438,Leamington,42.06,-82.6,-4.451,10.673
324,0.445,Lindsay,44.36,-78.74,-1.618,12.95
325,0.37,Lion's Head,44.99,-81.25,-1.388,11.071
326,0.415,Listowel,43.73,-80.95,-2.578,11.536
327,0.449,London,42.99,-81.24,-3.346,11.479
328,0.431,Lucan,43.19,-81.41,-3.174,11.317
329,0.448,Maitland,44.63,-75.62,-0.8,15.038
330,0.358,Markdale,44.32,-80.65,-1.957,11.626
331,0.404,Markham,43.86,-79.34,-2.203,12.644
332,0.196,Martin,49.25,-91.13,1.895,3.83
333,0.264,Matheson,48.53,-80.46,2.188,10.875
334,0.34,Mattawa,46.32,-78.71,0.294,12.518
335,0.41,Midland,44.75,-79.89,-1.421,12.064
336,0.414,Milton,43.51,-79.88,-2.63,12.341
337,0.423,Milverton,43.56,-80.92,-2.74,11.592
338,0.467,Minden,44.93,-78.72,-1.06,12.832
339,0.403,Mississauga,43.59,-79.64,-2.514,12.493
340,0.406,Mississauga Port Credit,43.55,-79.58,-2.544,12.544
341,0.428,Mitchell,43.47,-81.19,-2.868,11.418
342,0.197,Moosonee,51.27,-80.65,4.842,10.181
343,0.431,Morrisburg,44.9,-75.18,-0.455,15.266
344,0.401,Mount Forest,43.98,-80.74,-2.303,11.633
345,0.219,Nakina,50.18,-86.71,3.116,6.578
346,0.441,Nanticoke (Jarvis),42.89,-80.11,-3.272,12.311
347,0.443,Nanticoke (Port Dover),42.79,-80.2,-3.384,12.267
348,0.5,Napanee,44.25,-76.95,-1.415,14.22
349,0.295,New Liskeard,47.51,-79.68,1.304,11.604
350,0.43,Newcastle,43.92,-78.59,-2.021,13.157
351,0.409,Newmarket,44.04,-79.46,-2.046,12.52
352,0.353,Niagara Falls,43.11,-79.06,-2.888,13.012
353,0.366,North Bay,46.31,-79.46,0.167,12.015
354,0.472,Norwood,44.38,-77.98,-1.47,13.474
355,0.409,Oakville,43.47,-79.69,-2.639,12.484
356,0.41,Orangeville,43.92,-80.09,-2.263,12.104
357,0.42,Orillia,44.61,-79.42,-1.484,12.421
358,0.411,Oshawa,43.9,-78.87,-2.087,12.966
359,0.46,Ottawa (Barrhaven),45.28,-75.76,-0.2,14.768
360,0.476,Ottawa (city hall),45.42,-75.69,-0.052,14.778
361,0.453,Ottawa (Kanata),45.32,-75.91,-0.19,14.656
362,0.47,Ottawa (M-C Int'l Airport),45.32,-75.67,-0.145,14.819
363,0.474,Ottawa (Orleans),45.48,-75.51,0.039,14.884
364,0.361,Owen Sound,44.56,-80.94,-1.764,11.374
365,0.223,Pagwa River,50.02,-85.22,3.092,7.548
366,0.441,Paris,43.19,-80.38,-3.021,12.054
367,0.413,Parkhill,43.16,-81.68,-3.243,11.13
368,0.5,Parry Sound,45.34,-80.03,-0.867,11.84
369,0.402,Pelham (Fonthill),43.04,-79.28,-2.992,12.871
370,0.346,Pembroke,45.83,-77.11,0.086,13.713
371,0.416,Penetanguishene,44.77,-79.93,-1.408,12.032
372,0.452,Perth,44.9,-76.25,-0.658,14.535
373,0.33,Petawawa,45.9,-77.28,0.124,13.581
374,0.443,Peterborough,44.31,-78.32,-1.596,13.254
375,0.419,Petrolia,42.88,-82.15,-3.583,10.846
376,0.401,Pickering (Dunbarton),43.84,-79.08,-2.18,12.832
377,0.491,Picton,44.0,-77.13,-1.689,14.158
378,0.443,Plattsville,43.31,-80.62,-2.94,11.857
379,0.339,Point Alexander,46.13,-77.57,0.297,13.329
380,0.459,Port Burwell,42.65,-80.8,-3.613,11.865
381,0.41,Port Colborne,42.89,-79.25,-3.133,12.926
382,0.359,Port Elgin,44.45,-81.38,-1.935,11.088
383,0.435,Port Hope,43.95,-78.29,-1.941,13.36
384,0.42,Port Perry,44.11,-78.95,-1.896,12.861
385,0.445,Port Stanley,42.67,-81.22,-3.656,11.558
386,0.44,Prescott,44.72,-75.52,-0.694,15.082
387,0.448,Princeton,43.17,-80.53,-3.063,11.951
388,0.209,Raith,48.83,-89.93,1.542,4.649
389,0.393,Rayside-Balfour (Chelmsford),46.57,-81.2,0.167,10.789
390,0.188,Red Lake,51.06,-93.74,3.603,2.052
391,0.396,Renfrew,45.47,-76.68,-0.186,14.095
392,0.404,Richmond Hill,43.85,-79.38,-2.219,12.619
393,0.473,Rockland,45.55,-75.29,0.149,15.013
394,0.409,Sarnia,42.97,-82.41,-3.531,10.642
395,0.362,Sault Ste. Marie,46.51,-84.33,-0.282,8.682
396,0.345,Schreiber,48.8,-87.27,1.7,6.394
397,0.409,Seaforth,43.55,-81.39,-2.819,11.26
398,0.391,Shelburne,44.08,-80.2,-2.123,11.992
399,0.433,Simcoe,42.84,-80.31,-3.352,12.178
400,0.188,Sioux Lookout,50.1,-91.92,2.707,3.26
401,0.442,Smiths Falls,44.9,-76.02,-0.615,14.692
402,0.414,Smithville,43.09,-79.55,-2.987,12.667
403,0.257,Smooth Rock Falls,49.28,-81.63,2.766,9.969
404,0.412,South River,45.84,-79.38,-0.279,12.174
405,0.357,Southampton,44.49,-81.37,-1.895,11.087
406,0.382,St. Catharines,43.16,-79.25,-2.87,12.865
407,0.443,St. Mary's,43.26,-81.14,-3.067,11.496
408,0.447,St. Thomas,42.78,-81.19,-3.544,11.557
409,0.481,Stirling,44.3,-77.55,-1.473,13.792
410,0.437,Stratford,43.37,-80.98,-2.935,11.588
411,0.428,Strathroy,42.96,-81.62,-3.43,11.212
412,0.398,Sturgeon Falls,46.37,-79.93,0.154,11.686
413,0.399,Sudbury,46.49,-80.99,0.118,10.946
414,0.42,Sundridge,45.77,-79.39,-0.349,12.183
415,0.44,Tavistock,43.32,-80.84,-2.963,11.698
416,0.343,Temagami,47.06,-79.79,0.848,11.629
417,0.459,Thamesford,43.06,-81.0,-3.242,11.637
418,0.398,Thedford,43.17,-81.85,-3.257,11.006
419,0.273,Thunder Bay,48.38,-89.25,1.136,5.14
420,0.461,Tillsonburg,42.86,-80.73,-3.397,11.872
421,0.259,Timmins,48.48,-81.33,2.021,10.32
422,0.259,Timmins (Porcupine),48.49,-81.17,2.052,10.422
423,0.403,Etobicoke,43.64,-79.57,-2.454,12.531
424,0.403,North York,43.77,-79.41,-2.302,12.615
425,0.401,Scarborough,43.77,-79.26,-2.277,12.721
426,0.406,Toronto (city hall),43.65,-79.38,-2.414,12.663
427,0.398,Toronto (LBP Int'l Airport),43.68,-79.61,-2.422,12.494
428,0.453,Trenton,44.1,-77.57,-1.671,13.827
429,0.378,Trout Creek,45.99,-79.36,-0.13,12.154
430,0.413,Uxbridge,44.11,-79.12,-1.923,12.742
431,0.406,Vaughan (Woodbridge),43.86,-79.51,-2.23,12.525
432,0.454,Vittoria,42.76,-80.32,-3.432,12.188
433,0.386,Walkerton,44.13,-81.15,-2.216,11.314
434,0.437,Wallaceburg,42.59,-82.38,-3.9,10.734
435,0.435,Waterloo,43.46,-80.52,-2.778,11.897
436,0.421,Watford,42.95,-81.88,-3.477,11.027
437,0.398,Wawa,48.0,-84.77,1.142,8.151
438,0.403,Welland,42.98,-79.25,-3.046,12.906
439,0.442,West Lorne,42.6,-81.61,-3.782,11.29
440,0.41,Whitby,43.9,-78.94,-2.098,12.916
441,0.412,Whitby (Brooklin),43.96,-78.96,-2.043,12.889
442,0.339,White River,48.59,-85.28,1.673,7.725
443,0.362,Wiarton,44.74,-81.14,-1.617,11.198
444,0.426,Windsor,42.32,-83.04,-4.254,10.304
445,0.392,Wingham,43.89,-81.31,-2.474,11.249
446,0.451,Woodstock,43.13,-80.76,-3.137,11.795
447,0.416,Wyoming,42.95,-82.12,-3.511,10.854
448,0.421,Acton-Vale,45.65,-72.56,0.796,16.813
449,0.297,Alma,48.55,-71.65,3.745,16.501
450,0.255,Amos,48.57,-78.12,2.575,12.377
451,0.381,Asbestos,45.78,-71.94,1.054,17.185
452,0.458,Aylmer,45.4,-75.84,-0.1,14.682
453,0.496,Baie-Comeau,49.22,-68.15,5.151,18.448
454,0.447,Baie-Saint-Paul,47.44,-70.51,2.941,17.583
455,0.463,Beauport,46.87,-71.18,2.254,17.337
456,0.416,Bedford,45.12,-72.99,0.2,16.685
457,0.446,Beloeil,45.57,-73.2,0.585,16.41
458,0.423,Brome,45.19,-72.57,0.356,16.947
459,0.428,Brossard,45.46,-73.47,0.424,16.262
